name,ring,quadrant,moved,link
Java,ADOPT,Languages,none,
Typescript,ADOPT,Languages,up,
Javascript,ADOPT,Languages,none,
Feature flags,ADOPT,Infrastructure,none,
React,TRIAL,Languages,none,
AWS SAM,ADOPT,Languages,none,
Serverless Framework,ADOPT,Languages,none,
Terraform,ADOPT,Languages,none,
go,HOLD,Languages,down,
Git,ADOPT,Languages,none,
GitLab CI/CD,ADOPT,Infrastructure,none,
SonarCloud,HOLD,Infrastructure,down,
Elastic Cloud,HOLD,Infrastructure,down,
Kubernetes,ASSESS,Infrastructure,down,
Fargate,ASSESS,Infrastructure,up,
jest,ADOPT,Languages,down,
cypress,ADOPT,Languages,down,
Slack,ADOPT,Languages,up,
AWS,HOLD,Infrastructure,up,
GCP,ASSESS,Infrastructure,up,
AWS CDK,ADOPT,Languages,up,
AWS Lambda,ADOPT,Languages,up,
AWS Step Functions,TRIAL,Languages,none,
AWS EventBridge,ADOPT,Infrastructure,up,
OpenAPI (Swagger),ADOPT,Languages,up,
Redux,TRIAL,Languages,down,
Kibana,TRIAL,Languages,down,
AWS X-Ray,ADOPT,Infrastructure,up,
AWS2 DynamoDB,ADOPT,Datastores,up,
Elasticsearch,ASSESS,Datastores,none,
Hasura,TRIAL,Languages,up,
AWS Cognito,HOLD,Infrastructure,up,
single-spa,TRIAL,Languages,up,
Frontend Microservices,TRIAL,Languages,up,
RFCs,HOLD,Languages,up,
react-query,TRIAL,Languages,up,
GraphQL,TRIAL,Languages,none,
API First,HOLD,Languages,up,
Kafka,TRIAL,Data Management,down,
Postgres,ADOPT,Datastores,up,
AWS SNS,ADOPT,Data Management,up,
AWS SQS,ADOPT,Data Management,up,
AWS Athena,ASSESS,Data Management,up,
AWS Glue,ASSESS,Data Management,up,
Amazon QuickSight,TRIAL,Data Management,up,
Datadog,ASSESS,Data Management,up,
AWS Kinesis,TRIAL,Data Management,down,
AWS CloudFront,ADOPT,Infrastructure,up,
AWS CloudFormation,ADOPT,Infrastructure,up,
AWS S3,ADOPT,Datastores,up,
"AWS EC2 ",ADOPT,Infrastructure,up,
AWS RDS,ADOPT,Datastores,up,
Redis,TRIAL,Datastores,down,
AWS Route53,ADOPT,Infrastructure,up,
AWS ELB,ASSESS,Infrastructure,none,
AWS VPC,ASSESS,Infrastructure,none,
AWS CloudWatch,HOLD,Languages,up,
AWS CloudWatch,HOLD,Languages,up,
CDM,TRIAL,Languages,up,https://github.com/microsoft/CDM
